2022-02-15 19:21:41 [MainThread] INFO [StudyEvaluater] - use cpu
2022-02-15 19:21:41 [MainThread] INFO [StudyEvaluater] - use device cpu
2022-02-15 19:21:41 [MainThread] INFO [StudyEvaluater] - gt_file_or_folder: /media/ubuntu/Seagate Expansion Drive/IACTA/CellPress1338/external/A/ane_seg
2022-02-15 19:21:41 [MainThread] INFO [StudyEvaluater] - pred_file_or_folder: /home/ubuntu/codes/MyMedicalZoo/output/ExA/refined
2022-02-15 19:21:41 [MainThread] INFO [StudyEvaluater] - mask or probability distribution: mask
2022-02-15 19:21:41 [MainThread] INFO [StudyEvaluater] - Begin to scan gt_folder_or_file /media/ubuntu/Seagate Expansion Drive/IACTA/CellPress1338/external/A/ane_seg...
2022-02-15 19:21:41 [MainThread] INFO [StudyEvaluater] - Begin to scan pred_folder_or_file /home/ubuntu/codes/MyMedicalZoo/output/ExA/refined...
2022-02-15 19:21:41 [MainThread] INFO [StudyEvaluater] - instance number: 69. start evaluating...
2022-02-15 19:42:05 [MainThread] INFO [StudyEvaluater] - (1 in 69) ExtA0001:	ap: 0.5320	auc: 0.6155	precision: 0.9485	recall: 0.2310	sensitivity: 0.2310	specificity: 1.0000	dsc: 0.3715	hd95: 3.8406	tp: 258	fp: 14	fn: 859	tn: 90998809	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
2022-02-16 00:20:34 [MainThread] INFO [StudyEvaluater] - (12 in 69) ExtA0013:	ap: 0.3750	auc: 0.7500	precision: 0.0000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.0000	hd95: 1.0000	tp: 0	fp: 77	fn: 0	tn: 142634187	per_target_precision: 0.0000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 1	per_target_fn: 0
2022-02-16 00:34:51 [MainThread] INFO [StudyEvaluater] - (13 in 69) ExtA0014:	ap: 0.5309	auc: 0.7619	precision: 0.8000	recall: 0.5237	sensitivity: 0.5237	specificity: 1.0000	dsc: 0.6330	hd95: 12.6895	tp: 320	fp: 80	fn: 291	tn: 66059597	per_target_precision: 0.5000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 1	per_target_fn: 0
2022-02-16 00:54:30 [MainThread] INFO [StudyEvaluater] - (14 in 69) ExtA0015:	ap: 0.5653	auc: 0.6854	precision: 0.9451	recall: 0.3708	sensitivity: 0.3708	specificity: 1.0000	dsc: 0.5326	hd95: 2.1213	tp: 155	fp: 9	fn: 263	tn: 87293525	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
2022-02-16 01:14:45 [MainThread] INFO [StudyEvaluater] - (15 in 69) ExtA0016:	ap: 0.6466	auc: 0.9011	precision: 0.8921	recall: 0.8022	sensitivity: 0.8022	specificity: 1.0000	dsc: 0.8448	hd95: 47.7232	tp: 8854	fp: 1071	fn: 2183	tn: 87281844	per_target_precision: 0.3333	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 2	per_target_fn: 0
2022-02-16 01:42:09 [MainThread] INFO [StudyEvaluater] - (16 in 69) ExtA0017:	ap: 0.3781	auc: 0.7417	precision: 0.5145	recall: 0.4835	sensitivity: 0.4835	specificity: 1.0000	dsc: 0.4985	hd95: 79.0874	tp: 585	fp: 552	fn: 625	tn: 128416691	per_target_precision: 0.3333	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 2	per_target_fn: 0
2022-02-16 02:12:42 [MainThread] INFO [StudyEvaluater] - (17 in 69) ExtA0018:	ap: 0.5000	auc: 0.7500	precision: 0.5000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.5000	hd95: 1.0000	tp: 0	fp: 0	fn: 0	tn: 149382528	per_target_precision: 0.5000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 0
2022-02-16 02:41:35 [MainThread] INFO [StudyEvaluater] - (18 in 69) ExtA0019:	ap: 0.0061	auc: 0.5022	precision: 0.0101	recall: 0.0043	sensitivity: 0.0043	specificity: 1.0000	dsc: 0.0061	hd95: 4.1533	tp: 3	fp: 293	fn: 690	tn: 136822387	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
2022-02-16 03:12:26 [MainThread] INFO [StudyEvaluater] - (19 in 69) ExtA0020:	ap: 0.5000	auc: 0.7500	precision: 0.5000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.5000	hd95: 1.0000	tp: 0	fp: 0	fn: 0	tn: 153836496	per_target_precision: 0.5000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 0
2022-02-16 03:47:59 [MainThread] INFO [StudyEvaluater] - (20 in 69) ExtA0021:	ap: 0.5504	auc: 0.8388	precision: 0.7621	recall: 0.6776	sensitivity: 0.6776	specificity: 1.0000	dsc: 0.7174	hd95: 203.0885	tp: 1887	fp: 589	fn: 898	tn: 171362626	per_target_precision: 0.2500	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 3	per_target_fn: 0
2022-02-16 04:06:58 [MainThread] INFO [StudyEvaluater] - (21 in 69) ExtA0022:	ap: 0.4935	auc: 0.7684	precision: 0.7187	recall: 0.5368	sensitivity: 0.5368	specificity: 1.0000	dsc: 0.6146	hd95: 17.5107	tp: 4336	fp: 1697	fn: 3742	tn: 87284177	per_target_precision: 0.5000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 1	per_target_fn: 0
2022-02-16 04:31:44 [MainThread] INFO [StudyEvaluater] - (22 in 69) ExtA0023:	ap: 0.5000	auc: 0.7500	precision: 0.5000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.5000	hd95: 1.0000	tp: 0	fp: 0	fn: 0	tn: 114984184	per_target_precision: 0.5000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 0
2022-02-16 04:48:59 [MainThread] INFO [StudyEvaluater] - (23 in 69) ExtA0024:	ap: 0.2178	auc: 0.7941	precision: 0.1413	recall: 0.5883	sensitivity: 0.5883	specificity: 0.9999	dsc: 0.2279	hd95: 180.7536	tp: 856	fp: 5200	fn: 599	tn: 87287297	per_target_precision: 0.5000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 1	per_target_fn: 0
2022-02-16 05:29:40 [MainThread] INFO [StudyEvaluater] - (24 in 69) ExtA0025:	ap: 0.6559	auc: 0.8164	precision: 0.9954	recall: 0.6327	sensitivity: 0.6327	specificity: 1.0000	dsc: 0.7737	hd95: 2.0616	tp: 2603	fp: 12	fn: 1511	tn: 196604258	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
2022-02-16 05:51:18 [MainThread] INFO [StudyEvaluater] - (25 in 69) ExtA0026:	ap: 0.1304	auc: 0.5721	precision: 0.1887	recall: 0.1441	sensitivity: 0.1441	specificity: 1.0000	dsc: 0.1634	hd95: 76.5484	tp: 164	fp: 705	fn: 974	tn: 100364690	per_target_precision: 0.2500	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 3	per_target_fn: 0
2022-02-16 06:07:18 [MainThread] INFO [StudyEvaluater] - (26 in 69) ExtA0027:	ap: 0.5480	auc: 0.7975	precision: 0.7986	recall: 0.5951	sensitivity: 0.5951	specificity: 1.0000	dsc: 0.6820	hd95: 22.0882	tp: 2989	fp: 754	fn: 2034	tn: 77326703	per_target_precision: 0.2500	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 3	per_target_fn: 0
2022-02-16 06:26:03 [MainThread] INFO [StudyEvaluater] - (27 in 69) ExtA0028:	ap: 0.3750	auc: 0.7500	precision: 0.0000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.0000	hd95: 1.0000	tp: 0	fp: 236	fn: 0	tn: 97795924	per_target_precision: 0.0000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 1	per_target_fn: 0
2022-02-16 06:50:36 [MainThread] INFO [StudyEvaluater] - (28 in 69) ExtA0029:	ap: 0.6059	auc: 0.9121	precision: 0.7996	recall: 0.8242	sensitivity: 0.8242	specificity: 1.0000	dsc: 0.8117	hd95: 1.0000	tp: 886	fp: 222	fn: 189	tn: 109478325	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
2022-02-16 07:10:01 [MainThread] INFO [StudyEvaluater] - (29 in 69) ExtA0030:	ap: 0.4750	auc: 0.7174	precision: 0.7326	recall: 0.4347	sensitivity: 0.4347	specificity: 1.0000	dsc: 0.5457	hd95: 106.1101	tp: 5795	fp: 2115	fn: 7535	tn: 118735787	per_target_precision: 0.2500	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 3	per_target_fn: 0
2022-02-16 07:43:05 [MainThread] INFO [StudyEvaluater] - (30 in 69) ExtA0031:	ap: 0.0920	auc: 0.6662	precision: 0.0177	recall: 0.3324	sensitivity: 0.3324	specificity: 1.0000	dsc: 0.0337	hd95: 212.0216	tp: 115	fp: 6374	fn: 231	tn: 159454992	per_target_precision: 0.1250	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 7	per_target_fn: 0
2022-02-16 08:30:22 [MainThread] INFO [StudyEvaluater] - (31 in 69) ExtA0033:	ap: 0.3750	auc: 0.7500	precision: 0.0000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.0000	hd95: 1.0000	tp: 0	fp: 1234	fn: 0	tn: 232258766	per_target_precision: 0.0000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 4	per_target_fn: 0
2022-02-16 08:52:18 [MainThread] INFO [StudyEvaluater] - (32 in 69) ExtA0034:	ap: 0.0000	auc: 0.5000	precision: 0.0000	recall: 0.0000	sensitivity: 0.0000	specificity: 0.9999	dsc: 0.0000	hd95: 82.2007	tp: 0	fp: 5258	fn: 668	tn: 104050247	per_target_precision: 0.0000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 3	per_target_fn: 1
2022-02-16 09:29:37 [MainThread] INFO [StudyEvaluater] - (33 in 69) ExtA0035:	ap: 0.0806	auc: 0.6035	precision: 0.0576	recall: 0.2071	sensitivity: 0.2071	specificity: 1.0000	dsc: 0.0902	hd95: 196.0623	tp: 140	fp: 2289	fn: 536	tn: 172121835	per_target_precision: 0.3333	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 2	per_target_fn: 0
2022-02-16 09:48:52 [MainThread] INFO [StudyEvaluater] - (34 in 69) ExtA0036:	ap: 0.2500	auc: 0.5000	precision: 0.5000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 1.0000	tp: 0	fp: 0	fn: 1812	tn: 87292140	per_target_precision: 0.5000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 1
2022-02-16 10:08:13 [MainThread] INFO [StudyEvaluater] - (35 in 69) ExtA0037:	ap: 0.0063	auc: 0.5081	precision: 0.0046	recall: 0.0163	sensitivity: 0.0163	specificity: 1.0000	dsc: 0.0071	hd95: 137.3262	tp: 12	fp: 2617	fn: 726	tn: 87290597	per_target_precision: 0.2000	per_target_recall: 0.5000	per_target_tp: 1	per_target_fp: 4	per_target_fn: 1
2022-02-16 10:28:43 [MainThread] INFO [StudyEvaluater] - (36 in 69) ExtA0038:	ap: 0.5000	auc: 0.7500	precision: 0.5000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.5000	hd95: 1.0000	tp: 0	fp: 0	fn: 0	tn: 93985920	per_target_precision: 0.5000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 0
2022-02-16 10:46:27 [MainThread] INFO [StudyEvaluater] - (37 in 69) ExtA0039:	ap: 0.0000	auc: 0.5000	precision: 0.0000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 31.4476	tp: 0	fp: 180	fn: 559	tn: 87293213	per_target_precision: 0.0000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 1	per_target_fn: 1
2022-02-16 11:02:06 [MainThread] INFO [StudyEvaluater] - (38 in 69) ExtA0040:	ap: 0.0000	auc: 0.5000	precision: 0.0000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 44.3727	tp: 0	fp: 276	fn: 558	tn: 68680894	per_target_precision: 0.0000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 1	per_target_fn: 1
2022-02-16 11:41:45 [MainThread] INFO [StudyEvaluater] - (39 in 69) ExtA0041:	ap: 0.3120	auc: 0.8310	precision: 0.2929	recall: 0.6620	sensitivity: 0.6620	specificity: 1.0000	dsc: 0.4061	hd95: 283.3451	tp: 1218	fp: 2940	fn: 622	tn: 186310052	per_target_precision: 0.2500	per_target_recall: 0.5000	per_target_tp: 1	per_target_fp: 3	per_target_fn: 1
2022-02-16 12:00:43 [MainThread] INFO [StudyEvaluater] - (40 in 69) ExtA0042:	ap: 0.0271	auc: 0.5132	precision: 0.0409	recall: 0.0263	sensitivity: 0.0263	specificity: 1.0000	dsc: 0.0320	hd95: 51.4859	tp: 33	fp: 773	fn: 1221	tn: 87291925	per_target_precision: 0.5000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 1	per_target_fn: 0
2022-02-16 12:28:42 [MainThread] INFO [StudyEvaluater] - (41 in 69) ExtA0043:	ap: 0.5000	auc: 0.7500	precision: 0.5000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.5000	hd95: 1.0000	tp: 0	fp: 0	fn: 0	tn: 135989850	per_target_precision: 0.5000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 0
2022-02-16 12:58:56 [MainThread] INFO [StudyEvaluater] - (42 in 69) ExtA0044:	ap: 0.5997	auc: 0.8138	precision: 0.8856	recall: 0.6275	sensitivity: 0.6275	specificity: 1.0000	dsc: 0.7346	hd95: 54.4972	tp: 1154	fp: 149	fn: 685	tn: 145933264	per_target_precision: 0.5000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 1	per_target_fn: 0
2022-02-16 13:18:36 [MainThread] INFO [StudyEvaluater] - (43 in 69) ExtA0045:	ap: 0.5817	auc: 0.8099	precision: 0.8535	recall: 0.6197	sensitivity: 0.6197	specificity: 1.0000	dsc: 0.7181	hd95: 1.2247	tp: 880	fp: 151	fn: 540	tn: 87292381	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
2022-02-16 13:55:10 [MainThread] INFO [StudyEvaluater] - (44 in 69) ExtA0046:	ap: 0.3260	auc: 0.6060	precision: 0.5460	recall: 0.2121	sensitivity: 0.2121	specificity: 1.0000	dsc: 0.3055	hd95: 103.5862	tp: 95	fp: 79	fn: 353	tn: 168689137	per_target_precision: 0.5000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 1	per_target_fn: 0
2022-02-16 14:14:25 [MainThread] INFO [StudyEvaluater] - (45 in 69) ExtA0047:	ap: 0.1505	auc: 0.7461	precision: 0.0549	recall: 0.4923	sensitivity: 0.4923	specificity: 1.0000	dsc: 0.0988	hd95: 159.9297	tp: 64	fp: 1102	fn: 66	tn: 87292720	per_target_precision: 0.5000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 1	per_target_fn: 0
2022-02-16 14:34:26 [MainThread] INFO [StudyEvaluater] - (46 in 69) ExtA0048:	ap: 0.5000	auc: 0.7500	precision: 0.5000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.5000	hd95: 1.0000	tp: 0	fp: 0	fn: 0	tn: 94733320	per_target_precision: 0.5000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 0
2022-02-16 14:54:24 [MainThread] INFO [StudyEvaluater] - (47 in 69) ExtA0049:	ap: 0.3750	auc: 0.7500	precision: 0.0000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.0000	hd95: 1.0000	tp: 0	fp: 67	fn: 0	tn: 95763965	per_target_precision: 0.0000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 1	per_target_fn: 0
2022-02-16 15:13:52 [MainThread] INFO [StudyEvaluater] - (48 in 69) ExtA0050:	ap: 0.5113	auc: 0.5565	precision: 0.9661	recall: 0.1129	sensitivity: 0.1129	specificity: 1.0000	dsc: 0.2022	hd95: 12.0597	tp: 2991	fp: 105	fn: 23491	tn: 85285294	per_target_precision: 0.5000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 1	per_target_fn: 0
2022-02-16 15:34:12 [MainThread] INFO [StudyEvaluater] - (49 in 69) ExtA0051:	ap: 0.3750	auc: 0.7500	precision: 0.0000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.0000	hd95: 1.0000	tp: 0	fp: 65	fn: 0	tn: 102876415	per_target_precision: 0.0000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 1	per_target_fn: 0
2022-02-16 15:54:36 [MainThread] INFO [StudyEvaluater] - (50 in 69) ExtA0052:	ap: 0.5000	auc: 0.7500	precision: 0.5000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.5000	hd95: 1.0000	tp: 0	fp: 0	fn: 0	tn: 93985920	per_target_precision: 0.5000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 0
2022-02-16 16:33:00 [MainThread] INFO [StudyEvaluater] - (51 in 69) ExtA0053:	ap: 0.3750	auc: 0.7500	precision: 0.0000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.0000	hd95: 1.0000	tp: 0	fp: 334	fn: 0	tn: 195798962	per_target_precision: 0.0000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 3	per_target_fn: 0
2022-02-16 17:03:29 [MainThread] INFO [StudyEvaluater] - (52 in 69) ExtA0054:	ap: 0.3750	auc: 0.7500	precision: 0.0000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.0000	hd95: 1.0000	tp: 0	fp: 757	fn: 0	tn: 150280743	per_target_precision: 0.0000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 3	per_target_fn: 0
2022-02-16 17:26:00 [MainThread] INFO [StudyEvaluater] - (53 in 69) ExtA0055:	ap: 0.5000	auc: 0.7500	precision: 0.5000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.5000	hd95: 1.0000	tp: 0	fp: 0	fn: 0	tn: 108265472	per_target_precision: 0.5000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 0
2022-02-16 17:50:06 [MainThread] INFO [StudyEvaluater] - (54 in 69) ExtA0056:	ap: 0.3750	auc: 0.7500	precision: 0.0000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.0000	hd95: 1.0000	tp: 0	fp: 501	fn: 0	tn: 127669116	per_target_precision: 0.0000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 2	per_target_fn: 0
2022-02-16 18:12:16 [MainThread] INFO [StudyEvaluater] - (55 in 69) ExtA0057:	ap: 0.3750	auc: 0.7500	precision: 0.0000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.0000	hd95: 1.0000	tp: 0	fp: 72	fn: 0	tn: 117621828	per_target_precision: 0.0000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 1	per_target_fn: 0
2022-02-16 18:28:49 [MainThread] INFO [StudyEvaluater] - (56 in 69) ExtA0058:	ap: 0.6475	auc: 0.8065	precision: 0.9884	recall: 0.6129	sensitivity: 0.6129	specificity: 1.0000	dsc: 0.7567	hd95: 3.6742	tp: 7443	fp: 87	fn: 4700	tn: 74174522	per_target_precision: 0.5000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 1	per_target_fn: 0
2022-02-16 18:45:43 [MainThread] INFO [StudyEvaluater] - (57 in 69) ExtA0059:	ap: 0.2500	auc: 0.5000	precision: 0.5000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 1.0000	tp: 0	fp: 0	fn: 580	tn: 107740604	per_target_precision: 0.5000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 1
2022-02-16 19:07:50 [MainThread] INFO [StudyEvaluater] - (58 in 69) ExtA0060:	ap: 0.0000	auc: 0.5000	precision: 0.0000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 193.3570	tp: 0	fp: 1961	fn: 2447	tn: 143409282	per_target_precision: 0.0000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 9	per_target_fn: 1
2022-02-16 19:23:33 [MainThread] INFO [StudyEvaluater] - (59 in 69) ExtA0061:	ap: 0.6887	auc: 0.9095	precision: 0.9678	recall: 0.8191	sensitivity: 0.8191	specificity: 1.0000	dsc: 0.8872	hd95: 0.5000	tp: 901	fp: 30	fn: 199	tn: 74324618	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
2022-02-16 19:56:54 [MainThread] INFO [StudyEvaluater] - (60 in 69) ExtA0062:	ap: 0.2500	auc: 0.5000	precision: 0.5000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 1.0000	tp: 0	fp: 0	fn: 580	tn: 159461132	per_target_precision: 0.5000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 1
2022-02-16 20:14:51 [MainThread] INFO [StudyEvaluater] - (61 in 69) ExtA0063:	ap: 0.5302	auc: 0.8217	precision: 0.7387	recall: 0.6434	sensitivity: 0.6434	specificity: 1.0000	dsc: 0.6878	hd95: 79.4748	tp: 1097	fp: 388	fn: 608	tn: 87291859	per_target_precision: 0.2000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 4	per_target_fn: 0
