INFO:root:use device 0
INFO:root:gt_file_or_folder: /home/ubuntu/codes/radiology/3nnUnet/nnUNet_output/nnUNet_raw_data/Task172_ExA/labelsTs
INFO:root:pred_file_or_folder: /home/ubuntu/codes/radiology/3nnUnet/nnUNet_output/nnUNet_trained_models/nnUNet/3d_fullres/Task152_CellPress110/nnUNetTrainerV2__nnUNetPlansv2.1/fold_0/Task172_ExA
INFO:root:mask or probability distribution: mask
INFO:root:Begin to scan gt_folder_or_file /home/ubuntu/codes/radiology/3nnUnet/nnUNet_output/nnUNet_raw_data/Task172_ExA/labelsTs...
INFO:root:Begin to scan pred_folder_or_file /home/ubuntu/codes/radiology/3nnUnet/nnUNet_output/nnUNet_trained_models/nnUNet/3d_fullres/Task152_CellPress110/nnUNetTrainerV2__nnUNetPlansv2.1/fold_0/Task172_ExA...
INFO:root:instance number: 70. start evaluating...
INFO:root:===================evaluate headcut====================
INFO:root:===metrics_dict===
{'ap': AP(), 'auc': AUC(), 'precision': Precision(
  (cm): _ConfusionMatrix()
), 'recall': Recall(
  (cm): _ConfusionMatrix()
), 'sensitivity': Sensitivity(
  (cm): _ConfusionMatrix()
), 'specificity': Specificity(
  (cm): _ConfusionMatrix()
), 'dsc': DSC(
  (cm): _ConfusionMatrix()
), 'hd95': HD95(), 'tp': TruePositive(
  (cm): _ConfusionMatrix()
), 'fp': FalsePositive(
  (cm): _ConfusionMatrix()
), 'fn': FalseNegative(
  (cm): _ConfusionMatrix()
), 'tn': TrueNegative(
  (cm): _ConfusionMatrix()
), 'per_target_precision': Precision(
  (cm): _ConfusionMatrix()
), 'per_target_recall': Recall(
  (cm): _ConfusionMatrix()
), 'per_target_tp': TruePositive(
  (cm): _ConfusionMatrix()
), 'per_target_fp': FalsePositive(
  (cm): _ConfusionMatrix()
), 'per_target_fn': FalseNegative(
  (cm): _ConfusionMatrix()
)}
======curves_dict====
{'pr': AP(), 'roc': AUC()}
INFO:root:(1 in 70) ExtA0001:	ap: 0.6197	auc: 0.7793	precision: 0.9600	recall: 0.5586	sensitivity: 0.5586	specificity: 1.0000	dsc: 0.7063	hd95: 2.0616	tp: 624	fp: 26	fn: 493	tn: 61243957	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
INFO:root:(12 in 70) ExtA0013:	ap: 0.3750	auc: 0.7500	precision: 0.0000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.0000	hd95: 1.0000	tp: 0	fp: 10	fn: 0	tn: 56890439	per_target_precision: 0.5000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 0
INFO:root:(13 in 70) ExtA0014:	ap: 0.6448	auc: 0.9460	precision: 0.8437	recall: 0.8920	sensitivity: 0.8920	specificity: 1.0000	dsc: 0.8671	hd95: 0.5000	tp: 545	fp: 101	fn: 66	tn: 57270008	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
INFO:root:(14 in 70) ExtA0015:	ap: 0.6178	auc: 0.7871	precision: 0.9486	recall: 0.5742	sensitivity: 0.5742	specificity: 1.0000	dsc: 0.7154	hd95: 1.2532	tp: 240	fp: 13	fn: 178	tn: 53465300	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
INFO:root:(15 in 70) ExtA0016:	ap: 0.7084	auc: 0.9744	precision: 0.9423	recall: 0.9488	sensitivity: 0.9488	specificity: 1.0000	dsc: 0.9456	hd95: 0.5000	tp: 10472	fp: 641	fn: 565	tn: 61896322	per_target_precision: 0.5000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 1	per_target_fn: 0
INFO:root:(16 in 70) ExtA0017:	ap: 0.4022	auc: 0.7926	precision: 0.5119	recall: 0.5851	sensitivity: 0.5851	specificity: 1.0000	dsc: 0.5461	hd95: 49.1668	tp: 708	fp: 675	fn: 502	tn: 53416739	per_target_precision: 0.5000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 1	per_target_fn: 0
INFO:root:(17 in 70) ExtA0018:	ap: 0.5000	auc: 0.7500	precision: 0.5000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.5000	hd95: 1.0000	tp: 0	fp: 0	fn: 0	tn: 71948800	per_target_precision: 0.5000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 0
INFO:root:(18 in 70) ExtA0019:	ap: 0.5703	auc: 0.7706	precision: 0.8701	recall: 0.5411	sensitivity: 0.5411	specificity: 1.0000	dsc: 0.6673	hd95: 2.0369	tp: 375	fp: 56	fn: 318	tn: 69094186	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
INFO:root:(19 in 70) ExtA0020:	ap: 0.5000	auc: 0.7500	precision: 0.5000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.5000	hd95: 1.0000	tp: 0	fp: 0	fn: 0	tn: 75725820	per_target_precision: 0.5000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 0
INFO:root:(20 in 70) ExtA0021:	ap: 0.6601	auc: 0.8251	precision: 0.9951	recall: 0.6503	sensitivity: 0.6503	specificity: 1.0000	dsc: 0.7865	hd95: 1.5000	tp: 1811	fp: 9	fn: 974	tn: 62813267	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
INFO:root:(21 in 70) ExtA0022:	ap: 0.5962	auc: 0.9135	precision: 0.7789	recall: 0.8271	sensitivity: 0.8271	specificity: 1.0000	dsc: 0.8023	hd95: 18.1728	tp: 6681	fp: 1896	fn: 1397	tn: 73553866	per_target_precision: 0.3333	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 2	per_target_fn: 0
INFO:root:(22 in 70) ExtA0023:	ap: 0.5000	auc: 0.7500	precision: 0.5000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.5000	hd95: 1.0000	tp: 0	fp: 0	fn: 0	tn: 62749890	per_target_precision: 0.5000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 0
INFO:root:(23 in 70) ExtA0024:	ap: 0.6272	auc: 0.7828	precision: 0.9717	recall: 0.5656	sensitivity: 0.5656	specificity: 1.0000	dsc: 0.7150	hd95: 2.5000	tp: 823	fp: 24	fn: 632	tn: 56120219	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
INFO:root:(24 in 70) ExtA0025:	ap: 0.6887	auc: 0.9005	precision: 0.9769	recall: 0.8009	sensitivity: 0.8009	specificity: 1.0000	dsc: 0.8802	hd95: 0.8660	tp: 3295	fp: 78	fn: 819	tn: 64500248	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
INFO:root:(25 in 70) ExtA0026:	ap: 0.6269	auc: 0.7636	precision: 0.9901	recall: 0.5272	sensitivity: 0.5272	specificity: 1.0000	dsc: 0.6881	hd95: 1.6583	tp: 600	fp: 6	fn: 538	tn: 62427992	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
INFO:root:(26 in 70) ExtA0027:	ap: 0.6430	auc: 0.7921	precision: 0.9939	recall: 0.5841	sensitivity: 0.5841	specificity: 1.0000	dsc: 0.7358	hd95: 3.2016	tp: 2934	fp: 18	fn: 2089	tn: 62446859	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
INFO:root:(27 in 70) ExtA0028:	ap: 0.5000	auc: 0.7500	precision: 0.5000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.5000	hd95: 1.0000	tp: 0	fp: 0	fn: 0	tn: 58758615	per_target_precision: 0.5000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 0
INFO:root:(28 in 70) ExtA0029:	ap: 0.0000	auc: 0.5000	precision: 0.0000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 83.6809	tp: 0	fp: 106	fn: 1075	tn: 63746503	per_target_precision: 0.0000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 1	per_target_fn: 1
INFO:root:(29 in 70) ExtA0030:	ap: 0.6426	auc: 0.7981	precision: 0.9871	recall: 0.5962	sensitivity: 0.5962	specificity: 1.0000	dsc: 0.7434	hd95: 4.9497	tp: 7948	fp: 104	fn: 5382	tn: 64551126	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
INFO:root:(30 in 70) ExtA0031:	ap: 0.4993	auc: 0.7124	precision: 0.7861	recall: 0.4249	sensitivity: 0.4249	specificity: 1.0000	dsc: 0.5516	hd95: 15.5588	tp: 147	fp: 40	fn: 199	tn: 63183970	per_target_precision: 0.5000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 1	per_target_fn: 0
INFO:root:(31 in 70) ExtA0032:	ap: 0.0000	auc: 0.4999	precision: 0.0000	recall: 0.0000	sensitivity: 0.0000	specificity: 0.9998	dsc: 0.0000	hd95: 32.9431	tp: 0	fp: 12515	fn: 13307	tn: 66598358	per_target_precision: 0.0000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 2	per_target_fn: 1
INFO:root:(32 in 70) ExtA0033:	ap: 0.5000	auc: 0.7500	precision: 0.5000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.5000	hd95: 1.0000	tp: 0	fp: 0	fn: 0	tn: 58754916	per_target_precision: 0.5000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 0
INFO:root:(33 in 70) ExtA0034:	ap: 0.6467	auc: 0.8757	precision: 0.9177	recall: 0.7515	sensitivity: 0.7515	specificity: 1.0000	dsc: 0.8263	hd95: 0.7071	tp: 502	fp: 45	fn: 166	tn: 66568808	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
INFO:root:(34 in 70) ExtA0035:	ap: 0.0000	auc: 0.5000	precision: 0.0000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 12.9035	tp: 0	fp: 271	fn: 676	tn: 79524961	per_target_precision: 0.0000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 2	per_target_fn: 1
INFO:root:(35 in 70) ExtA0036:	ap: 0.6743	auc: 0.8678	precision: 0.9809	recall: 0.7357	sensitivity: 0.7357	specificity: 1.0000	dsc: 0.8407	hd95: 1.1180	tp: 1333	fp: 26	fn: 479	tn: 66814954	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
INFO:root:(36 in 70) ExtA0037:	ap: 0.1551	auc: 0.5833	precision: 0.2269	recall: 0.1667	sensitivity: 0.1667	specificity: 1.0000	dsc: 0.1922	hd95: 67.4648	tp: 123	fp: 419	fn: 615	tn: 53873419	per_target_precision: 1.0000	per_target_recall: 0.5000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 1
INFO:root:(37 in 70) ExtA0038:	ap: 0.5000	auc: 0.7500	precision: 0.5000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.5000	hd95: 1.0000	tp: 0	fp: 0	fn: 0	tn: 69078854	per_target_precision: 0.5000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 0
INFO:root:(38 in 70) ExtA0039:	ap: 0.6819	auc: 0.9508	precision: 0.9130	recall: 0.9016	sensitivity: 0.9016	specificity: 1.0000	dsc: 0.9073	hd95: 0.5000	tp: 504	fp: 48	fn: 55	tn: 69076625	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
INFO:root:(39 in 70) ExtA0040:	ap: 0.5394	auc: 0.5789	precision: 1.0000	recall: 0.1577	sensitivity: 0.1577	specificity: 1.0000	dsc: 0.2724	hd95: 2.7386	tp: 88	fp: 0	fn: 470	tn: 58367947	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
INFO:root:(40 in 70) ExtA0041:	ap: 0.6296	auc: 0.8598	precision: 0.8995	recall: 0.7196	sensitivity: 0.7196	specificity: 1.0000	dsc: 0.7995	hd95: 1.8028	tp: 1324	fp: 148	fn: 516	tn: 63104572	per_target_precision: 0.6667	per_target_recall: 1.0000	per_target_tp: 2	per_target_fp: 1	per_target_fn: 0
INFO:root:(41 in 70) ExtA0042:	ap: 0.0000	auc: 0.5000	precision: 0.0000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 62.0323	tp: 0	fp: 139	fn: 1254	tn: 62071227	per_target_precision: 0.0000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 1	per_target_fn: 1
INFO:root:(42 in 70) ExtA0043:	ap: 0.5000	auc: 0.7500	precision: 0.5000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.5000	hd95: 1.0000	tp: 0	fp: 0	fn: 0	tn: 66611376	per_target_precision: 0.5000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 0
INFO:root:(43 in 70) ExtA0044:	ap: 0.6354	auc: 0.8303	precision: 0.9404	recall: 0.6607	sensitivity: 0.6607	specificity: 1.0000	dsc: 0.7761	hd95: 2.0000	tp: 1215	fp: 77	fn: 624	tn: 61794532	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
INFO:root:(44 in 70) ExtA0045:	ap: 0.2500	auc: 0.5000	precision: 0.5000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 1.0000	tp: 0	fp: 0	fn: 1420	tn: 55787330	per_target_precision: 0.5000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 1
INFO:root:(45 in 70) ExtA0046:	ap: 0.0000	auc: 0.5000	precision: 0.0000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 87.1155	tp: 0	fp: 137	fn: 448	tn: 56877663	per_target_precision: 0.0000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 1	per_target_fn: 1
INFO:root:(46 in 70) ExtA0047:	ap: 0.2500	auc: 0.5000	precision: 0.5000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 1.0000	tp: 0	fp: 0	fn: 130	tn: 71028990	per_target_precision: 0.5000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 1
INFO:root:(47 in 70) ExtA0048:	ap: 0.5000	auc: 0.7500	precision: 0.5000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.5000	hd95: 1.0000	tp: 0	fp: 0	fn: 0	tn: 61485600	per_target_precision: 0.5000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 0
INFO:root:(48 in 70) ExtA0049:	ap: 0.5000	auc: 0.7500	precision: 0.5000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.5000	hd95: 1.0000	tp: 0	fp: 0	fn: 0	tn: 64768725	per_target_precision: 0.5000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 0
INFO:root:(49 in 70) ExtA0050:	ap: 0.7119	auc: 0.9767	precision: 0.9471	recall: 0.9534	sensitivity: 0.9534	specificity: 1.0000	dsc: 0.9502	hd95: 0.7071	tp: 25249	fp: 1411	fn: 1233	tn: 67684207	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
INFO:root:(50 in 70) ExtA0051:	ap: 0.5000	auc: 0.7500	precision: 0.5000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.5000	hd95: 1.0000	tp: 0	fp: 0	fn: 0	tn: 65237480	per_target_precision: 0.5000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 0
INFO:root:(51 in 70) ExtA0052:	ap: 0.5000	auc: 0.7500	precision: 0.5000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.5000	hd95: 1.0000	tp: 0	fp: 0	fn: 0	tn: 62128962	per_target_precision: 0.5000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 0
INFO:root:(52 in 70) ExtA0053:	ap: 0.5000	auc: 0.7500	precision: 0.5000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.5000	hd95: 1.0000	tp: 0	fp: 0	fn: 0	tn: 56630400	per_target_precision: 0.5000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 0
INFO:root:(53 in 70) ExtA0054:	ap: 0.3750	auc: 0.7500	precision: 0.0000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.0000	hd95: 1.0000	tp: 0	fp: 6	fn: 0	tn: 62849400	per_target_precision: 0.5000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 0
INFO:root:(54 in 70) ExtA0055:	ap: 0.5000	auc: 0.7500	precision: 0.5000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.5000	hd95: 1.0000	tp: 0	fp: 0	fn: 0	tn: 64877436	per_target_precision: 0.5000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 0
INFO:root:(55 in 70) ExtA0056:	ap: 0.5000	auc: 0.7500	precision: 0.5000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.5000	hd95: 1.0000	tp: 0	fp: 0	fn: 0	tn: 65428077	per_target_precision: 0.5000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 0
INFO:root:(56 in 70) ExtA0057:	ap: 0.5000	auc: 0.7500	precision: 0.5000	recall: 0.5000	sensitivity: 0.5000	specificity: 1.0000	dsc: 0.5000	hd95: 1.0000	tp: 0	fp: 0	fn: 0	tn: 54744900	per_target_precision: 0.5000	per_target_recall: 0.5000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 0
INFO:root:(57 in 70) ExtA0058:	ap: 0.7134	auc: 0.9796	precision: 0.9471	recall: 0.9592	sensitivity: 0.9592	specificity: 1.0000	dsc: 0.9532	hd95: 0.5000	tp: 11648	fp: 650	fn: 495	tn: 65968135	per_target_precision: 0.5000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 1	per_target_fn: 0
INFO:root:(58 in 70) ExtA0059:	ap: 0.0000	auc: 0.5000	precision: 0.0000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 11.6082	tp: 0	fp: 49	fn: 580	tn: 58379455	per_target_precision: 0.0000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 1	per_target_fn: 1
INFO:root:(59 in 70) ExtA0060:	ap: 0.6388	auc: 0.8527	precision: 0.9250	recall: 0.7054	sensitivity: 0.7054	specificity: 1.0000	dsc: 0.8004	hd95: 42.5925	tp: 1726	fp: 140	fn: 721	tn: 56966405	per_target_precision: 0.5000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 1	per_target_fn: 0
INFO:root:(60 in 70) ExtA0061:	ap: 0.6508	auc: 0.9173	precision: 0.8844	recall: 0.8345	sensitivity: 0.8345	specificity: 1.0000	dsc: 0.8587	hd95: 1.6504	tp: 918	fp: 120	fn: 182	tn: 65895384	per_target_precision: 0.5000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 1	per_target_fn: 0
INFO:root:(61 in 70) ExtA0062:	ap: 0.2500	auc: 0.5000	precision: 0.5000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 1.0000	tp: 0	fp: 0	fn: 580	tn: 59464760	per_target_precision: 0.5000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 1
INFO:root:(62 in 70) ExtA0063:	ap: 0.6145	auc: 0.8965	precision: 0.8325	recall: 0.7930	sensitivity: 0.7930	specificity: 1.0000	dsc: 0.8123	hd95: 36.9253	tp: 1352	fp: 272	fn: 353	tn: 68497473	per_target_precision: 0.3333	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 2	per_target_fn: 0
INFO:root:(63 in 70) ExtA0064:	ap: 0.5051	auc: 0.5101	precision: 1.0000	recall: 0.0202	sensitivity: 0.0202	specificity: 1.0000	dsc: 0.0396	hd95: 1.8804	tp: 2	fp: 0	fn: 97	tn: 71968245	per_target_precision: 0.5000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 1
INFO:root:(64 in 70) ExtA0065:	ap: 0.6827	auc: 0.9410	precision: 0.9244	recall: 0.8819	sensitivity: 0.8819	specificity: 1.0000	dsc: 0.9027	hd95: 0.7071	tp: 5333	fp: 436	fn: 714	tn: 61718432	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 2	per_target_fp: 0	per_target_fn: 0
INFO:root:(65 in 70) ExtA0066:	ap: 0.3207	auc: 0.7000	precision: 0.4413	recall: 0.4000	sensitivity: 0.4000	specificity: 1.0000	dsc: 0.4196	hd95: 47.9415	tp: 94	fp: 119	fn: 141	tn: 67127070	per_target_precision: 0.5000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 1	per_target_fn: 0
