2022-02-11 15:25:43 [MainThread] INFO [StudyEvaluater] - use device 0
2022-02-11 15:25:43 [MainThread] INFO [StudyEvaluater] - gt_file_or_folder: /mnt/f/data/xianjin_data/ane_seg
2022-02-11 15:25:43 [MainThread] INFO [StudyEvaluater] - pred_file_or_folder: /home/ubuntu/codes/MyMedicalZoo/output/XJTsN/refined
2022-02-11 15:25:43 [MainThread] INFO [StudyEvaluater] - mask or probability distribution: mask
2022-02-11 15:25:43 [MainThread] INFO [StudyEvaluater] - Begin to scan gt_folder_or_file /mnt/f/data/xianjin_data/ane_seg...
2022-02-11 15:25:43 [MainThread] INFO [StudyEvaluater] - Begin to scan pred_folder_or_file /home/ubuntu/codes/MyMedicalZoo/output/XJTsN/refined...
2022-02-11 15:25:44 [MainThread] INFO [StudyEvaluater] - instance number: 563. start evaluating...
2022-02-11 15:26:07 [MainThread] INFO [StudyEvaluater] - (1 in 563) XJTr0000:	ap: 0.4933	auc: 0.6399	precision: 0.8468	recall: 0.2798	sensitivity: 0.2798	specificity: 1.0000	dsc: 0.4206	hd95: 17.7465	tp: 785	fp: 142	fn: 2021	tn: 46134396	per_target_precision: 0.5000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 1	per_target_fn: 0
2022-02-11 15:31:02 [MainThread] INFO [StudyEvaluater] - (13 in 563) XJTr0012:	ap: 0.2500	auc: 0.5000	precision: 0.5000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 1.0000	tp: 0	fp: 0	fn: 233	tn: 69467927	per_target_precision: 0.5000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 1
2022-02-11 15:31:33 [MainThread] INFO [StudyEvaluater] - (14 in 563) XJTr0013:	ap: 0.2818	auc: 0.7331	precision: 0.3304	recall: 0.4663	sensitivity: 0.4663	specificity: 1.0000	dsc: 0.3868	hd95: 15.0848	tp: 76	fp: 154	fn: 87	tn: 69467843	per_target_precision: 0.5000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 1	per_target_fn: 0
2022-02-11 15:31:41 [MainThread] INFO [StudyEvaluater] - (15 in 563) XJTr0014:	ap: 0.2500	auc: 0.5000	precision: 0.5000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 1.0000	tp: 0	fp: 0	fn: 541	tn: 69467619	per_target_precision: 0.5000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 1
2022-02-11 15:32:13 [MainThread] INFO [StudyEvaluater] - (16 in 563) XJTr0015:	ap: 0.5209	auc: 0.5419	precision: 1.0000	recall: 0.0837	sensitivity: 0.0837	specificity: 1.0000	dsc: 0.1545	hd95: 5.3852	tp: 316	fp: 0	fn: 3458	tn: 69464386	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
2022-02-11 15:32:44 [MainThread] INFO [StudyEvaluater] - (17 in 563) XJTr0016:	ap: 0.6717	auc: 0.9861	precision: 0.8573	recall: 0.9721	sensitivity: 0.9721	specificity: 1.0000	dsc: 0.9111	hd95: 1.0000	tp: 6386	fp: 1063	fn: 183	tn: 69460528	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
2022-02-11 15:32:52 [MainThread] INFO [StudyEvaluater] - (18 in 563) XJTr0017:	ap: 0.2500	auc: 0.5000	precision: 0.5000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 1.0000	tp: 0	fp: 0	fn: 1434	tn: 69466726	per_target_precision: 0.5000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 1
2022-02-11 15:33:24 [MainThread] INFO [StudyEvaluater] - (19 in 563) XJTr0018:	ap: 0.4364	auc: 0.9554	precision: 0.4175	recall: 0.9108	sensitivity: 0.9108	specificity: 1.0000	dsc: 0.5725	hd95: 64.9511	tp: 521	fp: 727	fn: 51	tn: 69466861	per_target_precision: 0.3333	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 2	per_target_fn: 0
2022-02-11 15:33:32 [MainThread] INFO [StudyEvaluater] - (20 in 563) XJTr0019:	ap: 0.2500	auc: 0.5000	precision: 0.5000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 1.0000	tp: 0	fp: 0	fn: 547	tn: 69467613	per_target_precision: 0.5000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 1
2022-02-11 15:33:40 [MainThread] INFO [StudyEvaluater] - (21 in 563) XJTr0020:	ap: 0.2500	auc: 0.5000	precision: 0.5000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 1.0000	tp: 0	fp: 0	fn: 754	tn: 69467406	per_target_precision: 0.5000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 1
2022-02-11 15:33:48 [MainThread] INFO [StudyEvaluater] - (22 in 563) XJTr0021:	ap: 0.2500	auc: 0.5000	precision: 0.5000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 1.0000	tp: 0	fp: 0	fn: 221	tn: 69467939	per_target_precision: 0.5000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 1
2022-02-11 15:34:19 [MainThread] INFO [StudyEvaluater] - (23 in 563) XJTr0022:	ap: 0.4490	auc: 0.6844	precision: 0.7137	recall: 0.3688	sensitivity: 0.3688	specificity: 1.0000	dsc: 0.4863	hd95: 69.3452	tp: 354	fp: 142	fn: 606	tn: 69467058	per_target_precision: 0.3333	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 2	per_target_fn: 0
2022-02-11 15:34:50 [MainThread] INFO [StudyEvaluater] - (24 in 563) XJTr0023:	ap: 0.6486	auc: 0.8302	precision: 0.9670	recall: 0.6603	sensitivity: 0.6603	specificity: 1.0000	dsc: 0.7848	hd95: 1.5000	tp: 762	fp: 26	fn: 392	tn: 69466980	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
2022-02-11 15:35:22 [MainThread] INFO [StudyEvaluater] - (25 in 563) XJTr0024:	ap: 0.0000	auc: 0.5000	precision: 0.0000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 44.0065	tp: 0	fp: 308	fn: 1051	tn: 69466801	per_target_precision: 0.0000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 2	per_target_fn: 4
2022-02-11 15:35:31 [MainThread] INFO [StudyEvaluater] - (26 in 563) XJTr0025:	ap: 0.2500	auc: 0.5000	precision: 0.5000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 1.0000	tp: 0	fp: 0	fn: 337	tn: 76807855	per_target_precision: 0.5000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 1
2022-02-11 15:36:08 [MainThread] INFO [StudyEvaluater] - (27 in 563) XJTr0026:	ap: 0.0000	auc: 0.5000	precision: 0.0000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 132.5403	tp: 0	fp: 219	fn: 74	tn: 78118619	per_target_precision: 0.0000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 2	per_target_fn: 1
2022-02-11 15:36:44 [MainThread] INFO [StudyEvaluater] - (28 in 563) XJTr0027:	ap: 0.0000	auc: 0.5000	precision: 0.0000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 39.3109	tp: 0	fp: 104	fn: 1416	tn: 78903824	per_target_precision: 0.0000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 1	per_target_fn: 2
2022-02-11 15:37:29 [MainThread] INFO [StudyEvaluater] - (29 in 563) XJTr0028:	ap: 0.0000	auc: 0.5000	precision: 0.0000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 148.3195	tp: 0	fp: 1757	fn: 1349	tn: 92533726	per_target_precision: 0.0000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 2	per_target_fn: 1
2022-02-11 15:38:12 [MainThread] INFO [StudyEvaluater] - (30 in 563) XJTr0029:	ap: 0.0000	auc: 0.5000	precision: 0.0000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 33.4485	tp: 0	fp: 31	fn: 84	tn: 93061005	per_target_precision: 0.0000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 1	per_target_fn: 1
2022-02-11 15:38:57 [MainThread] INFO [StudyEvaluater] - (31 in 563) XJTr0030:	ap: 0.0000	auc: 0.5000	precision: 0.0000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 21.0119	tp: 0	fp: 94	fn: 1498	tn: 94370248	per_target_precision: 0.0000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 1	per_target_fn: 1
2022-02-11 15:39:45 [MainThread] INFO [StudyEvaluater] - (32 in 563) XJTr0031:	ap: 0.3831	auc: 0.8261	precision: 0.4401	recall: 0.6523	sensitivity: 0.6523	specificity: 1.0000	dsc: 0.5256	hd95: 119.3317	tp: 848	fp: 1079	fn: 452	tn: 95155893	per_target_precision: 0.2500	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 3	per_target_fn: 0
2022-02-11 15:40:32 [MainThread] INFO [StudyEvaluater] - (33 in 563) XJTr0032:	ap: 0.0000	auc: 0.5000	precision: 0.0000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 73.3254	tp: 0	fp: 192	fn: 634	tn: 98041030	per_target_precision: 0.0000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 2	per_target_fn: 1
2022-02-11 15:41:20 [MainThread] INFO [StudyEvaluater] - (34 in 563) XJTr0033:	ap: 0.5868	auc: 0.7916	precision: 0.8819	recall: 0.5832	sensitivity: 0.5832	specificity: 1.0000	dsc: 0.7021	hd95: 1.5284	tp: 508	fp: 68	fn: 363	tn: 98303061	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
2022-02-11 15:42:07 [MainThread] INFO [StudyEvaluater] - (35 in 563) XJTr0034:	ap: 0.1586	auc: 0.5877	precision: 0.2294	recall: 0.1755	sensitivity: 0.1755	specificity: 1.0000	dsc: 0.1989	hd95: 110.0231	tp: 53	fp: 178	fn: 249	tn: 99876384	per_target_precision: 0.5000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 1	per_target_fn: 0
2022-02-11 15:42:56 [MainThread] INFO [StudyEvaluater] - (36 in 563) XJTr0035:	ap: 0.3022	auc: 0.7343	precision: 0.3702	recall: 0.4686	sensitivity: 0.4686	specificity: 1.0000	dsc: 0.4136	hd95: 57.4081	tp: 462	fp: 786	fn: 524	tn: 99875092	per_target_precision: 0.2500	per_target_recall: 0.5000	per_target_tp: 1	per_target_fp: 3	per_target_fn: 1
2022-02-11 15:43:44 [MainThread] INFO [StudyEvaluater] - (37 in 563) XJTr0036:	ap: 0.6369	auc: 0.8765	precision: 0.8973	recall: 0.7531	sensitivity: 0.7531	specificity: 1.0000	dsc: 0.8189	hd95: 13.7595	tp: 4379	fp: 501	fn: 1436	tn: 99870548	per_target_precision: 1.0000	per_target_recall: 0.5000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 1
2022-02-11 15:44:32 [MainThread] INFO [StudyEvaluater] - (38 in 563) XJTr0037:	ap: 0.5391	auc: 0.9732	precision: 0.6051	recall: 0.9465	sensitivity: 0.9465	specificity: 1.0000	dsc: 0.7382	hd95: 2.5495	tp: 1149	fp: 750	fn: 65	tn: 100399188	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
2022-02-11 15:45:21 [MainThread] INFO [StudyEvaluater] - (39 in 563) XJTr0038:	ap: 0.0000	auc: 0.5000	precision: 0.0000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 12.8452	tp: 0	fp: 62	fn: 4321	tn: 101183201	per_target_precision: 0.0000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 1	per_target_fn: 1
2022-02-11 15:46:11 [MainThread] INFO [StudyEvaluater] - (40 in 563) XJTr0039:	ap: 0.1747	auc: 0.5957	precision: 0.2537	recall: 0.1914	sensitivity: 0.1914	specificity: 1.0000	dsc: 0.2182	hd95: 71.3167	tp: 587	fp: 1727	fn: 2480	tn: 101444934	per_target_precision: 0.2000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 4	per_target_fn: 0
2022-02-11 15:47:00 [MainThread] INFO [StudyEvaluater] - (41 in 563) XJTr0040:	ap: 0.5791	auc: 0.7954	precision: 0.8628	recall: 0.5908	sensitivity: 0.5908	specificity: 1.0000	dsc: 0.7014	hd95: 1.1180	tp: 283	fp: 45	fn: 196	tn: 101973492	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
2022-02-11 15:47:50 [MainThread] INFO [StudyEvaluater] - (42 in 563) XJTr0041:	ap: 0.2684	auc: 0.9715	precision: 0.0654	recall: 0.9430	sensitivity: 0.9430	specificity: 1.0000	dsc: 0.1222	hd95: 29.8923	tp: 149	fp: 2131	fn: 9	tn: 102496015	per_target_precision: 0.2500	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 3	per_target_fn: 0
2022-02-11 15:48:42 [MainThread] INFO [StudyEvaluater] - (43 in 563) XJTr0042:	ap: 0.4122	auc: 0.8487	precision: 0.4757	recall: 0.6975	sensitivity: 0.6975	specificity: 1.0000	dsc: 0.5656	hd95: 38.4755	tp: 1577	fp: 1738	fn: 684	tn: 102494305	per_target_precision: 0.1667	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 5	per_target_fn: 0
2022-02-11 15:49:32 [MainThread] INFO [StudyEvaluater] - (44 in 563) XJTr0043:	ap: 0.5889	auc: 0.6926	precision: 0.9852	recall: 0.3852	sensitivity: 0.3852	specificity: 1.0000	dsc: 0.5538	hd95: 2.6926	tp: 1134	fp: 17	fn: 1810	tn: 102495343	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
2022-02-11 15:50:23 [MainThread] INFO [StudyEvaluater] - (45 in 563) XJTr0044:	ap: 0.2960	auc: 0.7223	precision: 0.3697	recall: 0.4446	sensitivity: 0.4446	specificity: 1.0000	dsc: 0.4037	hd95: 36.7813	tp: 586	fp: 999	fn: 732	tn: 102758131	per_target_precision: 0.2500	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 3	per_target_fn: 0
2022-02-11 15:51:14 [MainThread] INFO [StudyEvaluater] - (46 in 563) XJTr0045:	ap: 0.0645	auc: 0.5032	precision: 0.1259	recall: 0.0063	sensitivity: 0.0063	specificity: 1.0000	dsc: 0.0120	hd95: 36.3727	tp: 36	fp: 250	fn: 5657	tn: 103016649	per_target_precision: 0.2000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 4	per_target_fn: 0
2022-02-11 15:52:05 [MainThread] INFO [StudyEvaluater] - (47 in 563) XJTr0046:	ap: 0.4271	auc: 0.8854	precision: 0.4688	recall: 0.7708	sensitivity: 0.7708	specificity: 1.0000	dsc: 0.5830	hd95: 92.3502	tp: 797	fp: 903	fn: 237	tn: 103282799	per_target_precision: 0.2500	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 3	per_target_fn: 0
2022-02-11 15:52:55 [MainThread] INFO [StudyEvaluater] - (48 in 563) XJTr0047:	ap: 0.3379	auc: 0.9384	precision: 0.2375	recall: 0.8767	sensitivity: 0.8767	specificity: 1.0000	dsc: 0.3737	hd95: 2.6926	tp: 128	fp: 411	fn: 18	tn: 103546323	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
2022-02-11 15:53:44 [MainThread] INFO [StudyEvaluater] - (49 in 563) XJTr0048:	ap: 0.3193	auc: 0.7559	precision: 0.3828	recall: 0.5117	sensitivity: 0.5117	specificity: 1.0000	dsc: 0.4380	hd95: 64.4445	tp: 240	fp: 387	fn: 229	tn: 103546024	per_target_precision: 0.5000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 1	per_target_fn: 0
2022-02-11 15:54:35 [MainThread] INFO [StudyEvaluater] - (50 in 563) XJTr0049:	ap: 0.5248	auc: 0.9495	precision: 0.6000	recall: 0.8991	sensitivity: 0.8991	specificity: 1.0000	dsc: 0.7197	hd95: 1.1180	tp: 285	fp: 190	fn: 32	tn: 103808517	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
2022-02-11 15:55:28 [MainThread] INFO [StudyEvaluater] - (51 in 563) XJTr0050:	ap: 0.2842	auc: 0.6845	precision: 0.3839	recall: 0.3690	sensitivity: 0.3690	specificity: 1.0000	dsc: 0.3763	hd95: 130.0933	tp: 397	fp: 637	fn: 679	tn: 104069455	per_target_precision: 0.3333	per_target_recall: 0.3333	per_target_tp: 1	per_target_fp: 2	per_target_fn: 2
2022-02-11 15:55:40 [MainThread] INFO [StudyEvaluater] - (52 in 563) XJTr0051:	ap: 0.2500	auc: 0.5000	precision: 0.5000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 1.0000	tp: 0	fp: 0	fn: 439	tn: 104332873	per_target_precision: 0.5000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 0	per_target_fn: 1
2022-02-11 15:56:31 [MainThread] INFO [StudyEvaluater] - (53 in 563) XJTr0052:	ap: 0.5960	auc: 0.8664	precision: 0.8256	recall: 0.7327	sensitivity: 0.7327	specificity: 1.0000	dsc: 0.7764	hd95: 1.1180	tp: 573	fp: 121	fn: 209	tn: 104856697	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
2022-02-11 15:57:22 [MainThread] INFO [StudyEvaluater] - (54 in 563) XJTr0053:	ap: 0.0000	auc: 0.5000	precision: 0.0000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 56.1049	tp: 0	fp: 1910	fn: 567	tn: 105117267	per_target_precision: 0.0000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 2	per_target_fn: 1
2022-02-11 15:58:13 [MainThread] INFO [StudyEvaluater] - (55 in 563) XJTr0054:	ap: 0.5532	auc: 0.7037	precision: 0.9027	recall: 0.4075	sensitivity: 0.4075	specificity: 1.0000	dsc: 0.5615	hd95: 1.5811	tp: 306	fp: 33	fn: 445	tn: 105643248	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
2022-02-11 15:59:03 [MainThread] INFO [StudyEvaluater] - (56 in 563) XJTr0055:	ap: 0.0000	auc: 0.5000	precision: 0.0000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 63.1268	tp: 0	fp: 523	fn: 640	tn: 105905013	per_target_precision: 0.0000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 2	per_target_fn: 1
2022-02-11 15:59:57 [MainThread] INFO [StudyEvaluater] - (57 in 563) XJTr0056:	ap: 0.0281	auc: 0.5075	precision: 0.0487	recall: 0.0150	sensitivity: 0.0150	specificity: 1.0000	dsc: 0.0229	hd95: 51.7100	tp: 27	fp: 527	fn: 1774	tn: 105903848	per_target_precision: 0.2500	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 3	per_target_fn: 0
2022-02-11 16:00:48 [MainThread] INFO [StudyEvaluater] - (58 in 563) XJTr0057:	ap: 0.0000	auc: 0.5000	precision: 0.0000	recall: 0.0000	sensitivity: 0.0000	specificity: 1.0000	dsc: 0.0000	hd95: 71.3233	tp: 0	fp: 503	fn: 688	tn: 106167129	per_target_precision: 0.0000	per_target_recall: 0.0000	per_target_tp: 0	per_target_fp: 2	per_target_fn: 1
2022-02-11 16:01:40 [MainThread] INFO [StudyEvaluater] - (59 in 563) XJTr0058:	ap: 0.4162	auc: 0.9526	precision: 0.3797	recall: 0.9052	sensitivity: 0.9052	specificity: 1.0000	dsc: 0.5350	hd95: 3.0000	tp: 363	fp: 593	fn: 38	tn: 106167326	per_target_precision: 0.5000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 1	per_target_fn: 0
2022-02-11 16:02:34 [MainThread] INFO [StudyEvaluater] - (60 in 563) XJTr0059:	ap: 0.5482	auc: 0.9082	precision: 0.6882	recall: 0.8165	sensitivity: 0.8165	specificity: 1.0000	dsc: 0.7469	hd95: 83.0444	tp: 5833	fp: 2643	fn: 1311	tn: 106158533	per_target_precision: 0.2000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 4	per_target_fn: 0
2022-02-11 16:03:28 [MainThread] INFO [StudyEvaluater] - (61 in 563) XJTr0060:	ap: 0.5902	auc: 0.9457	precision: 0.7347	recall: 0.8914	sensitivity: 0.8914	specificity: 1.0000	dsc: 0.8055	hd95: 95.5423	tp: 3317	fp: 1198	fn: 404	tn: 106163401	per_target_precision: 0.5000	per_target_recall: 1.0000	per_target_tp: 2	per_target_fp: 2	per_target_fn: 0
2022-02-11 16:04:20 [MainThread] INFO [StudyEvaluater] - (62 in 563) XJTr0061:	ap: 0.5357	auc: 0.8725	precision: 0.6989	recall: 0.7451	sensitivity: 0.7451	specificity: 1.0000	dsc: 0.7212	hd95: 1.1180	tp: 304	fp: 131	fn: 104	tn: 106429925	per_target_precision: 1.0000	per_target_recall: 1.0000	per_target_tp: 1	per_target_fp: 0	per_target_fn: 0
